ProfileM	Shape_Leng	ORIG_FID	POINT_X	POINT_Z	POINT_Y
3848.057	174.4896194	2	844910.32	1365455.16	288.25
3848.057	174.4896194	2	844911.51	1365454.8	288
3848.057	174.4896194	2	844912.35	1365454.54	287.86
3848.057	174.4896194	2	844913.2	1365454.29	287.86
3848.057	174.4896194	2	844914.04	1365454.03	287.87
3848.057	174.4896194	2	844914.88	1365453.78	287.87
3848.057	174.4896194	2	844916.57	1365453.27	287.81
3848.057	174.4896194	2	844917.77	1365452.91	287.76
3848.057	174.4896194	2	844918.61	1365452.65	287.69
3848.057	174.4896194	2	844919.45	1365452.4	287.6
3848.057	174.4896194	2	844920.29	1365452.14	287.56
3848.057	174.4896194	2	844921.14	1365451.89	287.58
3848.057	174.4896194	2	844921.98	1365451.63	287.63
3848.057	174.4896194	2	844922.82	1365451.38	287.69
3848.057	174.4896194	2	844923.67	1365451.12	287.72
3848.057	174.4896194	2	844924.86	1365450.76	287.73
3848.057	174.4896194	2	844925.7	1365450.51	287.73
3848.057	174.4896194	2	844926.54	1365450.25	287.69
3848.057	174.4896194	2	844927.74	1365449.89	287.65
3848.057	174.4896194	2	844928.58	1365449.64	287.6
3848.057	174.4896194	2	844929.43	1365449.38	287.53
3848.057	174.4896194	2	844931.95	1365448.62	287.36
3848.057	174.4896194	2	844932.8	1365448.36	287.25
3848.057	174.4896194	2	844933.64	1365448.11	287.14
3848.057	174.4896194	2	844934	1365448	287.11
3848.057	174.4896194	2	844934.85	1365447.82	287.03
3848.057	174.4896194	2	844934.96	1365447.79	287.02
3848.057	174.4896194	2	844935.71	1365447.63	286.83
3848.057	174.4896194	2	844936.57	1365447.44	286.7
3848.057	174.4896194	2	844937.43	1365447.25	286.63
3848.057	174.4896194	2	844938.29	1365447.07	286.58
3848.057	174.4896194	2	844939.15	1365446.88	286.5
3848.057	174.4896194	2	844940.01	1365446.69	286.34
3848.057	174.4896194	2	844940.87	1365446.51	286.17
3848.057	174.4896194	2	844941.73	1365446.32	286.01
3848.057	174.4896194	2	844944.31	1365445.76	285.69
3848.057	174.4896194	2	844945.17	1365445.57	285.53
3848.057	174.4896194	2	844946.04	1365445.38	285.38
3848.057	174.4896194	2	844946.9	1365445.2	285.27
3848.057	174.4896194	2	844947.76	1365445.01	285.18
3848.057	174.4896194	2	844948.62	1365444.82	284.98
3848.057	174.4896194	2	844949.48	1365444.64	284.78
3848.057	174.4896194	2	844950.34	1365444.45	284.6
3848.057	174.4896194	2	844951.2	1365444.26	284.46
3848.057	174.4896194	2	844952.06	1365444.07	284.4
3848.057	174.4896194	2	844953.78	1365443.7	284.29
3848.057	174.4896194	2	844954.64	1365443.51	284.25
3848.057	174.4896194	2	844955.5	1365443.33	284.24
3848.057	174.4896194	2	844957	1365443	284.29
3848.057	174.4896194	2	844958.09	1365442.79	284.33
3848.057	174.4896194	2	844958.96	1365442.63	284.43
3848.057	174.4896194	2	844959.82	1365442.46	284.64
3848.057	174.4896194	2	844960.69	1365442.3	284.81
3848.057	174.4896194	2	844961.55	1365442.13	285
3848.057	174.4896194	2	844962.77	1365441.9	285.2
3848.057	174.4896194	2	844963.64	1365441.74	285.41
3848.057	174.4896194	2	844964.5	1365441.57	285.64
3848.057	174.4896194	2	844965.37	1365441.41	285.87
3848.057	174.4896194	2	844966.23	1365441.24	286.09
3848.057	174.4896194	2	844967.1	1365441.08	286.19
3848.057	174.4896194	2	844967.96	1365440.91	286.28
3848.057	174.4896194	2	844968.83	1365440.75	286.42
3848.057	174.4896194	2	844968.95	1365440.72	286.42
3848.057	174.4896194	2	844969.69	1365440.58	286.5
3848.057	174.4896194	2	844971.42	1365440.25	286.71
3848.057	174.4896194	2	844972.29	1365440.09	286.92
3848.057	174.4896194	2	844973.15	1365439.92	287.11
3848.057	174.4896194	2	844974.02	1365439.76	287.42
3848.057	174.4896194	2	844974.88	1365439.59	287.67
3848.057	174.4896194	2	844975.75	1365439.43	287.85
3848.057	174.4896194	2	844976.61	1365439.26	287.97
3848.057	174.4896194	2	844977.48	1365439.1	288.02
3848.057	174.4896194	2	844978	1365439	288.02
3848.057	174.4896194	2	844978.7	1365438.81	288.03
3848.057	174.4896194	2	844979.55	1365438.58	288
3848.057	174.4896194	2	844980.39	1365438.35	287.94
